Jahr,Extremniederschlagstage_Anzahl,Frosttage_Anzahl,Heisse_Tage_Anzahl,Hitzewellentage_Anzahl,Tropennaechte_Anzahl,Modell,Statistik
1965,8.233333333333333,74.06666666666666,2.6,0.5666666666666667,4.033333333333333,Szenario RCP 4.5,Durchschnitt
1966,8.266666666666667,72.66666666666667,2.533333333333333,0.5666666666666667,3.933333333333333,Szenario RCP 4.5,Durchschnitt
1967,8.566666666666666,70.93333333333334,2.3666666666666667,0.5666666666666667,3.8333333333333335,Szenario RCP 4.5,Durchschnitt
1968,8.533333333333333,70.93333333333334,2.2666666666666666,0.5666666666666667,3.533333333333333,Szenario RCP 4.5,Durchschnitt
1969,8.533333333333333,69.8,2.3333333333333335,0.5666666666666667,3.5,Szenario RCP 4.5,Durchschnitt
1970,8.566666666666666,70.66666666666667,2.3,0.5666666666666667,3.533333333333333,Szenario RCP 4.5,Durchschnitt
1971,8.533333333333333,69.86666666666666,1.9333333333333333,0.36666666666666664,3.1333333333333333,Szenario RCP 4.5,Durchschnitt
1972,8.4,69.6,2.1,0.36666666666666664,3.466666666666667,Szenario RCP 4.5,Durchschnitt
1973,8.3,69.3,2.2,0.36666666666666664,3.6,Szenario RCP 4.5,Durchschnitt
1974,8.433333333333334,68.33333333333333,2.2,0.36666666666666664,3.8,Szenario RCP 4.5,Durchschnitt
1975,8.533333333333333,68.56666666666666,2.1333333333333333,0.36666666666666664,3.7666666666666666,Szenario RCP 4.5,Durchschnitt
1976,8.5,67.46666666666667,2.066666666666667,0.36666666666666664,3.8666666666666667,Szenario RCP 4.5,Durchschnitt
1977,8.466666666666667,66.56666666666666,2.1666666666666665,0.36666666666666664,4.033333333333333,Szenario RCP 4.5,Durchschnitt
1978,8.5,66.23333333333333,2.1666666666666665,0.36666666666666664,4.033333333333333,Szenario RCP 4.5,Durchschnitt
1979,8.7,65.96666666666667,2.066666666666667,0.23333333333333334,3.8333333333333335,Szenario RCP 4.5,Durchschnitt
1980,8.666666666666666,66.46666666666667,2.1,0.23333333333333334,3.7666666666666666,Szenario RCP 4.5,Durchschnitt
1981,8.533333333333333,65.66666666666667,2.2333333333333334,0.23333333333333334,3.966666666666667,Szenario RCP 4.5,Durchschnitt
1982,8.466666666666667,65.23333333333333,2.3666666666666667,0.23333333333333334,4.133333333333334,Szenario RCP 4.5,Durchschnitt
1983,8.7,64.73333333333333,2.3666666666666667,0.23333333333333334,4.133333333333334,Szenario RCP 4.5,Durchschnitt
1984,8.866666666666667,64.33333333333333,2.5,0.23333333333333334,4.5,Szenario RCP 4.5,Durchschnitt
1985,8.766666666666667,64.4,2.533333333333333,0.26666666666666666,4.766666666666667,Szenario RCP 4.5,Durchschnitt
1986,8.466666666666667,63.9,3.1,0.5,5.266666666666667,Szenario RCP 4.5,Durchschnitt
1987,8.4,63.2,2.9,0.36666666666666664,5.1,Szenario RCP 4.5,Durchschnitt
1988,8.266666666666667,62.63333333333333,3.033333333333333,0.36666666666666664,5.366666666666666,Szenario RCP 4.5,Durchschnitt
1989,8.2,62.233333333333334,3.066666666666667,0.36666666666666664,5.266666666666667,Szenario RCP 4.5,Durchschnitt
1990,8.3,62.5,3.1666666666666665,0.36666666666666664,5.533333333333333,Szenario RCP 4.5,Durchschnitt
1991,8.433333333333334,62.9,3.2333333333333334,0.36666666666666664,5.333333333333333,Szenario RCP 4.5,Durchschnitt
1992,8.533333333333333,62.53333333333333,3.2666666666666666,0.36666666666666664,5.433333333333334,Szenario RCP 4.5,Durchschnitt
1993,8.633333333333333,62.7,3.3333333333333335,0.36666666666666664,5.6,Szenario RCP 4.5,Durchschnitt
1994,8.633333333333333,61.96666666666667,3.2666666666666666,0.36666666666666664,5.266666666666667,Szenario RCP 4.5,Durchschnitt
1995,8.666666666666666,62.0,3.0,0.36666666666666664,4.666666666666667,Szenario RCP 4.5,Durchschnitt
1996,8.566666666666666,63.86666666666667,2.966666666666667,0.36666666666666664,4.6,Szenario RCP 4.5,Durchschnitt
1997,8.333333333333334,63.666666666666664,3.033333333333333,0.36666666666666664,5.233333333333333,Szenario RCP 4.5,Durchschnitt
1998,8.566666666666666,63.6,3.033333333333333,0.36666666666666664,5.5,Szenario RCP 4.5,Durchschnitt
1999,8.666666666666666,63.833333333333336,3.066666666666667,0.36666666666666664,5.733333333333333,Szenario RCP 4.5,Durchschnitt
2000,8.833333333333334,62.7,3.1,0.36666666666666664,5.733333333333333,Szenario RCP 4.5,Durchschnitt
2001,8.766666666666667,63.63333333333333,3.2666666666666666,0.36666666666666664,6.133333333333334,Szenario RCP 4.5,Durchschnitt
2002,8.833333333333334,63.3,3.033333333333333,0.36666666666666664,6.133333333333334,Szenario RCP 4.5,Durchschnitt
2003,8.766666666666667,63.333333333333336,2.933333333333333,0.36666666666666664,6.133333333333334,Szenario RCP 4.5,Durchschnitt
2004,8.833333333333334,63.0,2.966666666666667,0.36666666666666664,6.0,Szenario RCP 4.5,Durchschnitt
2005,8.966666666666667,63.166666666666664,3.1333333333333333,0.36666666666666664,5.966666666666667,Szenario RCP 4.5,Durchschnitt
2006,8.866666666666667,63.56666666666667,3.3333333333333335,0.36666666666666664,6.033333333333333,Szenario RCP 4.5,Durchschnitt
2007,9.133333333333333,63.9,3.2333333333333334,0.36666666666666664,5.866666666666666,Szenario RCP 4.5,Durchschnitt
2008,9.033333333333333,63.43333333333333,3.4,0.36666666666666664,6.366666666666666,Szenario RCP 4.5,Durchschnitt
2009,9.033333333333333,63.233333333333334,3.3666666666666667,0.36666666666666664,6.4,Szenario RCP 4.5,Durchschnitt
2010,9.0,62.86666666666667,3.4,0.36666666666666664,6.6,Szenario RCP 4.5,Durchschnitt
2011,9.033333333333333,62.7,3.2666666666666666,0.36666666666666664,6.4,Szenario RCP 4.5,Durchschnitt
2012,9.066666666666666,62.766666666666666,3.1333333333333333,0.36666666666666664,6.133333333333334,Szenario RCP 4.5,Durchschnitt
2013,9.166666666666666,63.53333333333333,3.4,0.36666666666666664,6.366666666666666,Szenario RCP 4.5,Durchschnitt
2014,8.866666666666667,64.23333333333333,3.533333333333333,0.5333333333333333,6.5,Szenario RCP 4.5,Durchschnitt
2015,8.933333333333334,63.766666666666666,3.9,0.6333333333333333,6.533333333333333,Szenario RCP 4.5,Durchschnitt
2016,9.166666666666666,63.1,3.8333333333333335,0.6333333333333333,6.633333333333334,Szenario RCP 4.5,Durchschnitt
2017,9.133333333333333,62.6,4.266666666666667,0.7666666666666667,7.2,Szenario RCP 4.5,Durchschnitt
2018,9.433333333333334,62.36666666666667,4.233333333333333,0.7666666666666667,7.266666666666667,Szenario RCP 4.5,Durchschnitt
2019,9.466666666666667,62.53333333333333,4.433333333333334,0.9333333333333333,7.933333333333334,Szenario RCP 4.5,Durchschnitt
2020,9.6,61.53333333333333,4.766666666666667,1.1666666666666667,8.133333333333333,Szenario RCP 4.5,Durchschnitt
2021,9.766666666666667,60.13333333333333,4.633333333333334,1.1666666666666667,8.1,Szenario RCP 4.5,Durchschnitt
2022,10.266666666666667,59.53333333333333,4.7,1.1666666666666667,8.2,Szenario RCP 4.5,Durchschnitt
2023,10.3,57.733333333333334,4.866666666666666,1.1666666666666667,8.366666666666667,Szenario RCP 4.5,Durchschnitt
2024,10.333333333333334,56.93333333333333,4.933333333333334,1.1666666666666667,8.5,Szenario RCP 4.5,Durchschnitt
2025,10.533333333333333,56.06666666666667,5.333333333333333,1.3666666666666667,9.1,Szenario RCP 4.5,Durchschnitt
2026,10.9,54.5,5.466666666666667,1.3666666666666667,9.2,Szenario RCP 4.5,Durchschnitt
2027,10.966666666666667,54.666666666666664,5.533333333333333,1.3666666666666667,8.766666666666667,Szenario RCP 4.5,Durchschnitt
2028,10.633333333333333,53.766666666666666,6.233333333333333,1.3666666666666667,9.366666666666667,Szenario RCP 4.5,Durchschnitt
2029,10.633333333333333,53.4,6.266666666666667,1.3666666666666667,9.5,Szenario RCP 4.5,Durchschnitt
2030,10.5,53.8,6.3,1.3666666666666667,9.866666666666667,Szenario RCP 4.5,Durchschnitt
2031,10.633333333333333,52.06666666666667,6.166666666666667,1.3666666666666667,9.533333333333333,Szenario RCP 4.5,Durchschnitt
2032,10.833333333333334,52.2,6.2,1.3666666666666667,9.4,Szenario RCP 4.5,Durchschnitt
