,hour,name,temperature,mean_temperature,temperature_deviation
0,0,Bodanplatz,16.90128205128205,16.281293706293706,0.619988344988343
1,0,Döbele,16.001442307692308,16.281293706293706,-0.27985139860139796
2,0,Friedrichstrasse,16.088141025641026,16.281293706293706,-0.19315268065268043
3,0,Fähre Staad,16.566346153846155,16.281293706293706,0.28505244755244874
4,0,Herose-Park,16.04022435897436,16.281293706293706,-0.24106934731934615
5,0,Hörnle,15.80544871794872,16.281293706293706,-0.4758449883449867
6,0,Mainaustrasse,16.17051282051282,16.281293706293706,-0.11078088578088696
7,0,Marktstätte,17.005448717948717,16.281293706293706,0.7241550116550108
8,0,Riedstrasse,15.530448717948717,16.281293706293706,-0.7508449883449888
9,0,Stadtgarten,16.126923076923077,16.281293706293706,-0.15437062937062862
10,0,Stephansplatz,16.85801282051282,16.281293706293706,0.576719114219113
11,1,Bodanplatz,16.307692307692307,15.733041958041959,0.5746503496503479
12,1,Döbele,15.456410256410255,15.733041958041959,-0.2766317016317039
13,1,Friedrichstrasse,15.52628205128205,15.733041958041959,-0.20675990675990796
14,1,Fähre Staad,16.065384615384612,15.733041958041959,0.3323426573426538
15,1,Herose-Park,15.523717948717948,15.733041958041959,-0.20932400932401052
16,1,Hörnle,15.33044871794872,15.733041958041959,-0.40259324009323905
17,1,Mainaustrasse,15.624679487179487,15.733041958041959,-0.1083624708624722
18,1,Marktstätte,16.430128205128206,15.733041958041959,0.6970862470862471
19,1,Riedstrasse,14.939743589743589,15.733041958041959,-0.7932983682983696
20,1,Stadtgarten,15.598076923076924,15.733041958041959,-0.13496503496503465
21,1,Stephansplatz,16.260897435897434,15.733041958041959,0.5278554778554749
22,2,Bodanplatz,15.833333333333334,15.301544289044289,0.5317890442890452
23,2,Döbele,14.98173076923077,15.301544289044289,-0.31981351981351835
24,2,Friedrichstrasse,15.074038461538462,15.301544289044289,-0.22750582750582637
25,2,Fähre Staad,15.612179487179487,15.301544289044289,0.31063519813519846
26,2,Herose-Park,15.13429487179487,15.301544289044289,-0.167249417249419
27,2,Hörnle,14.914743589743589,15.301544289044289,-0.38680069930070005
28,2,Mainaustrasse,15.205128205128204,15.301544289044289,-0.09641608391608436
