startZeit,o3,no2,pm10,pm25
2025-09-22T00:00:00+02:00,50.56,3.89,3.12,2.25
2025-09-22T01:00:00+02:00,53.79,3.19,2.92,1.71
2025-09-22T02:00:00+02:00,42.14,4.66,4.84,2.8
2025-09-22T03:00:00+02:00,43.27,3.59,3.89,2.37
2025-09-22T04:00:00+02:00,56.12,1.76,3.2,1.74
2025-09-22T05:00:00+02:00,,3.21,2.79,1.51
2025-09-22T06:00:00+02:00,52.92,3.83,3.27,1.53
2025-09-22T07:00:00+02:00,42.14,7.32,3.42,1.49
2025-09-22T08:00:00+02:00,36.25,6.65,1.93,0.79
2025-09-22T09:00:00+02:00,34.13,8.31,2.83,0.91
2025-09-22T10:00:00+02:00,34.57,6.7,2.13,0.76
2025-09-22T11:00:00+02:00,33.37,7.96,1.62,0.7
2025-09-22T12:00:00+02:00,34.28,7.61,1.46,0.51
2025-09-22T13:00:00+02:00,34.01,10.42,1.85,0.67
2025-09-22T14:00:00+02:00,38.62,7.59,1.77,0.68
2025-09-22T15:00:00+02:00,38.52,8.21,2.7,0.88
2025-09-22T16:00:00+02:00,37.72,10.99,2.94,1.63
2025-09-22T17:00:00+02:00,40.21,9.69,2.8,1.29
2025-09-22T18:00:00+02:00,37.74,9.82,3.57,1.8
2025-09-22T19:00:00+02:00,34.06,9.81,2.59,1.74
2025-09-22T20:00:00+02:00,33.31,8.77,2.72,1.45
2025-09-22T21:00:00+02:00,32.28,7.85,2.31,1.13
2025-09-22T22:00:00+02:00,32.87,6.48,2.1,1.06
2025-09-22T23:00:00+02:00,32.37,5.85,2.25,1.01
2025-09-23T00:00:00+02:00,33.64,5.21,2.12,1.1
2025-09-23T01:00:00+02:00,37.73,4.36,1.64,0.93
2025-09-23T02:00:00+02:00,,,1.79,1.12
2025-09-23T03:00:00+02:00,36.3,3.91,2.13,1.48
2025-09-23T04:00:00+02:00,34.43,4.27,2.11,1.64
2025-09-23T05:00:00+02:00,33.12,5.37,2.47,1.84
2025-09-23T06:00:00+02:00,32.52,5.71,3.01,1.66
2025-09-23T07:00:00+02:00,30.02,8.83,3.23,1.63
2025-09-23T08:00:00+02:00,30.77,7.85,3.87,2.37
2025-09-23T09:00:00+02:00,30.31,7.41,3.24,1.72
2025-09-23T10:00:00+02:00,29.83,7.48,4.88,1.98
2025-09-23T11:00:00+02:00,30.67,7.2,4.33,2.72
2025-09-23T12:00:00+02:00,,,5.74,3.68
2025-09-23T14:00:00+02:00,30.99,6.53,7.13,5.75
2025-09-23T15:00:00+02:00,29.5,6.95,7.69,5.3
2025-09-23T16:00:00+02:00,27.3,7.61,6.09,4.21
2025-09-23T17:00:00+02:00,23.29,9.62,3.84,2.89
2025-09-23T18:00:00+02:00,17.86,12.08,3.4,2.81
2025-09-23T19:00:00+02:00,17.24,11.13,3.34,2.54
2025-09-23T20:00:00+02:00,16.56,8.99,3.51,2.32
2025-09-23T21:00:00+02:00,14.93,10.38,3.03,2.3
2025-09-23T22:00:00+02:00,15.09,9.94,2.72,2.04
