Station,Datum,stunde,Temperatur_Celsius,Windrichtung_Grad,Windgeschwindigkeit_Durchschnitt_kmh
Fähre Staad,2024-08-11,23,27.5,292.0,0.55
Herose-Park,2024-08-11,0,22.25,150.5,0.4
Herose-Park,2024-08-11,1,21.3,348.0,0.3
Herose-Park,2024-08-11,2,20.95,281.0,0.4
Herose-Park,2024-08-11,3,20.5,333.0,0.2
Herose-Park,2024-08-11,4,19.9,178.5,0.3
Herose-Park,2024-08-11,5,19.3,200.5,0.2
Herose-Park,2024-08-11,6,19.1,285.0,0.3
Herose-Park,2024-08-11,7,19.15,278.0,0.35
Herose-Park,2024-08-11,8,20.7,222.0,1.1
Herose-Park,2024-08-11,9,22.15,178.5,0.4
Herose-Park,2024-08-11,10,23.0,141.5,0.3
Herose-Park,2024-08-11,11,24.3,106.0,0.3
Herose-Park,2024-08-11,12,26.1,146.0,0.4
Herose-Park,2024-08-11,13,28.05,,0.7749999999999999
Herose-Park,2024-08-11,14,30.0,134.5,1.15
Herose-Park,2024-08-11,15,30.45,123.5,0.4
Herose-Park,2024-08-11,16,30.75,96.0,0.3
Herose-Park,2024-08-11,17,31.0,148.0,0.45
Herose-Park,2024-08-11,18,30.8,136.5,0.4
Herose-Park,2024-08-11,19,30.7,39.0,0.6
Herose-Park,2024-08-11,20,28.55,180.5,0.1
Herose-Park,2024-08-11,21,26.8,332.0,0.3
Herose-Park,2024-08-11,22,26.9,186.0,0.5
Herose-Park,2024-08-11,23,24.8,328.5,0.3
Hörnle,2024-08-11,0,22.0,295.0,0.1
Hörnle,2024-08-11,1,21.6,260.0,0.2
Hörnle,2024-08-11,2,20.65,234.5,0.25
Hörnle,2024-08-11,3,20.1,232.0,0.15
Hörnle,2024-08-11,4,19.65,204.0,0.1
Hörnle,2024-08-11,5,19.0,220.0,0.1
Hörnle,2024-08-11,6,18.9,249.0,0.1
Hörnle,2024-08-11,7,20.3,202.5,0.2
Hörnle,2024-08-11,8,23.25,324.5,0.3
Hörnle,2024-08-11,9,23.8,129.0,0.25
Hörnle,2024-08-11,10,24.2,114.0,0.4
Hörnle,2024-08-11,11,26.1,115.0,0.5
Hörnle,2024-08-11,12,27.7,136.0,0.5
Hörnle,2024-08-11,13,30.2,158.0,0.4
Hörnle,2024-08-11,14,30.2,140.0,0.6
Hörnle,2024-08-11,15,31.4,141.0,0.5
Hörnle,2024-08-11,16,31.4,146.5,0.4
Hörnle,2024-08-11,17,31.3,131.0,0.3
Hörnle,2024-08-11,18,30.2,311.0,0.3
Hörnle,2024-08-11,19,27.1,308.0,0.25
Hörnle,2024-08-11,20,25.9,314.5,0.2
Hörnle,2024-08-11,21,25.5,302.0,0.0
Hörnle,2024-08-11,22,25.3,208.5,0.25
Hörnle,2024-08-11,23,24.6,166.5,0.2
Mainaustrasse,2024-08-11,0,22.4,289.5,0.3
Mainaustrasse,2024-08-11,1,21.95,295.5,0.3
Mainaustrasse,2024-08-11,2,21.15,284.5,0.35
Mainaustrasse,2024-08-11,3,20.45,218.0,0.25
Mainaustrasse,2024-08-11,4,19.85,170.5,0.2
Mainaustrasse,2024-08-11,5,19.2,326.5,0.3
Mainaustrasse,2024-08-11,6,18.8,315.5,0.2
Mainaustrasse,2024-08-11,7,20.6,200.0,0.25
Mainaustrasse,2024-08-11,8,22.35,185.0,0.65
Mainaustrasse,2024-08-11,9,23.9,241.5,0.6
Mainaustrasse,2024-08-11,10,24.55,228.5,1.25
Mainaustrasse,2024-08-11,11,26.4,202.0,1.05
Mainaustrasse,2024-08-11,12,27.75,196.5,1.25
Mainaustrasse,2024-08-11,13,29.4,214.0,1.25
Mainaustrasse,2024-08-11,14,30.3,199.5,1.15
Mainaustrasse,2024-08-11,15,31.7,157.0,1.15
Mainaustrasse,2024-08-11,16,32.2,125.0,0.65
Mainaustrasse,2024-08-11,17,32.55,186.5,1.55
Mainaustrasse,2024-08-11,18,31.65,101.0,0.95
Mainaustrasse,2024-08-11,19,30.75,221.5,0.4
Mainaustrasse,2024-08-11,20,29.15,161.0,0.2
Mainaustrasse,2024-08-11,21,27.6,171.5,0.25
Mainaustrasse,2024-08-11,22,27.5,95.0,0.5
Mainaustrasse,2024-08-11,23,27.05,251.5,0.4
Marktstätte,2024-08-11,0,24.1,224.0,0.35
Marktstätte,2024-08-11,1,22.75,232.0,0.8
Marktstätte,2024-08-11,2,22.25,231.0,0.8
Marktstätte,2024-08-11,3,21.9,231.0,0.6
Marktstätte,2024-08-11,4,21.45,233.5,0.6
Marktstätte,2024-08-11,5,21.2,211.0,0.5
Marktstätte,2024-08-11,6,20.3,233.0,0.6
Marktstätte,2024-08-11,7,20.35,229.5,0.6
Marktstätte,2024-08-11,8,21.9,207.0,0.4
Marktstätte,2024-08-11,9,23.95,69.0,0.7
Marktstätte,2024-08-11,10,25.3,93.5,0.8
Marktstätte,2024-08-11,11,26.7,49.0,0.8
Marktstätte,2024-08-11,12,28.4,73.5,0.85
Marktstätte,2024-08-11,13,30.6,59.0,0.7
Marktstätte,2024-08-11,14,31.5,53.5,0.85
Marktstätte,2024-08-11,15,32.3,101.0,0.7
Marktstätte,2024-08-11,16,32.6,51.0,1.0
Marktstätte,2024-08-11,17,32.75,21.0,0.8
Marktstätte,2024-08-11,18,31.85,85.5,0.7
Marktstätte,2024-08-11,19,30.8,119.0,0.3
Marktstätte,2024-08-11,20,30.0,104.0,0.4
Marktstätte,2024-08-11,21,28.65,79.5,0.25
Marktstätte,2024-08-11,22,28.0,154.5,0.25
Marktstätte,2024-08-11,23,26.65,232.5,1.0
Riedstrasse,2024-08-11,0,21.4,131.5,0.2
Riedstrasse,2024-08-11,1,20.6,91.0,0.1
Riedstrasse,2024-08-11,2,20.2,90.5,0.1
Riedstrasse,2024-08-11,3,19.2,53.0,0.1
Riedstrasse,2024-08-11,4,18.6,94.5,0.1
Riedstrasse,2024-08-11,5,17.95,83.0,0.1
Riedstrasse,2024-08-11,6,17.6,105.0,0.1
Riedstrasse,2024-08-11,7,20.2,327.5,0.15
Riedstrasse,2024-08-11,8,22.9,338.0,0.3
Riedstrasse,2024-08-11,9,24.6,143.0,0.35
Riedstrasse,2024-08-11,10,26.3,148.0,0.8
Riedstrasse,2024-08-11,11,28.3,184.0,0.6
Riedstrasse,2024-08-11,12,31.3,122.0,0.5
Riedstrasse,2024-08-11,13,30.85,137.0,1.1
Riedstrasse,2024-08-11,14,31.9,139.5,0.9
Riedstrasse,2024-08-11,15,32.85,151.5,0.65
Riedstrasse,2024-08-11,16,32.9,133.5,0.9
Riedstrasse,2024-08-11,17,33.3,52.0,0.5
Riedstrasse,2024-08-11,18,32.7,99.5,0.5
Riedstrasse,2024-08-11,19,31.9,68.0,0.2
Riedstrasse,2024-08-11,20,29.6,115.5,0.35
Riedstrasse,2024-08-11,21,26.7,79.0,0.1
Riedstrasse,2024-08-11,22,24.7,61.5,0.15
Riedstrasse,2024-08-11,23,23.65,151.0,0.2
Stadtgarten,2024-08-11,0,22.6,317.0,0.5
Stadtgarten,2024-08-11,1,21.95,302.5,0.35
Stadtgarten,2024-08-11,2,21.25,299.5,0.35
Stadtgarten,2024-08-11,3,20.85,305.5,0.4
Stadtgarten,2024-08-11,4,20.2,315.5,0.3
Stadtgarten,2024-08-11,5,19.45,312.0,0.25
Stadtgarten,2024-08-11,6,19.05,335.0,0.2
Stadtgarten,2024-08-11,7,21.2,293.5,0.25
Stadtgarten,2024-08-11,8,21.85,264.0,0.4
Stadtgarten,2024-08-11,9,22.45,125.0,0.3
Stadtgarten,2024-08-11,10,23.2,149.0,0.3
Stadtgarten,2024-08-11,11,24.4,156.0,0.3
Stadtgarten,2024-08-11,12,26.9,125.0,0.3
Stadtgarten,2024-08-11,13,27.5,127.0,0.3
Stadtgarten,2024-08-11,14,29.05,123.0,0.4
Stadtgarten,2024-08-11,15,29.3,123.0,0.3
Stadtgarten,2024-08-11,16,29.6,154.5,0.4
Stadtgarten,2024-08-11,17,29.6,161.5,0.35
Stadtgarten,2024-08-11,18,29.1,138.5,0.25
Stadtgarten,2024-08-11,19,29.45,100.0,1.25
Stadtgarten,2024-08-11,20,28.1,78.0,0.25
Stadtgarten,2024-08-11,21,26.65,295.0,0.3
Stadtgarten,2024-08-11,22,25.95,278.0,0.3
Stadtgarten,2024-08-11,23,25.5,282.0,0.45
Stephansplatz,2024-08-11,0,23.7,154.5,0.4
Stephansplatz,2024-08-11,1,22.5,241.0,0.5
Stephansplatz,2024-08-11,2,22.0,275.5,0.35
Stephansplatz,2024-08-11,3,21.5,281.5,0.65
Stephansplatz,2024-08-11,4,21.1,178.5,0.25
Stephansplatz,2024-08-11,5,20.35,156.0,0.45
Stephansplatz,2024-08-11,6,19.8,168.0,0.35
Stephansplatz,2024-08-11,7,20.05,176.5,0.3
Stephansplatz,2024-08-11,8,21.15,264.5,0.75
Stephansplatz,2024-08-11,9,22.65,192.5,0.85
Stephansplatz,2024-08-11,10,24.35,211.0,0.8
Stephansplatz,2024-08-11,11,26.55,183.0,0.55
Stephansplatz,2024-08-11,12,28.65,259.5,0.9
Stephansplatz,2024-08-11,13,30.05,235.0,0.85
Stephansplatz,2024-08-11,14,31.95,206.0,0.5
Stephansplatz,2024-08-11,15,32.9,216.5,0.95
Stephansplatz,2024-08-11,16,33.6,228.0,0.65
Stephansplatz,2024-08-11,17,34.2,307.5,0.9
Stephansplatz,2024-08-11,18,33.1,254.0,0.55
Stephansplatz,2024-08-11,19,31.75,134.0,0.65
Stephansplatz,2024-08-11,20,30.5,167.5,0.35
Stephansplatz,2024-08-11,21,29.2,212.0,0.25
Stephansplatz,2024-08-11,22,28.05,198.0,0.75
Stephansplatz,2024-08-11,23,26.35,266.0,0.5
